title,slug,ranking,section,Companies,References
How do you create custom RxJS operators?,how-create-custom-rxjs-operators,640,advanced,,
What are HTTP interceptors and how are they used?,what-are-http-interceptors-and-how-they-are-used,650,advanced,,
What are some uses of interceptors and can we provide multi-interceptors?,what-are-the-uses-of-interceptors-and-can-we-provide-multi-interceptors,660,advanced,,
What are dynamic components and how do you create them?,what-are-dynamic-components-how-create,670,advanced,,
What is Renderer2 and why would you use it?,what-is-renderer2-why-use-it,680,advanced,,
What are Angular elements?,what-are-angular-elements,690,advanced,,
What are custom elements and how does it work internally?,what-are-custom-elements-how-work,700,advanced,,
What techniques can improve performance in an Angular app?,what-techniques-can-improve-angular-performance,710,advanced,,
What is lazy loading and how do you use it in Angular?,what-is-lazy-loading-in-angular,720,advanced,,
How does Angular support internationalization (i18n) of applications?,how-does-angular-support-internationalization,730,advanced,,
What is incremental hydration?,what-is-incremental-hydration,740,advanced,,
What is TestBed and how is it used in Angular testing?,what-is-testbed-angular-testing,750,advanced,,
What is Protractor and how is it used for end-to-end testing?,what-is-protractor-and-how-it-is-used-in-e2e-testing,760,advanced,,
What is Component Test Harnesses?,what-is-component-test-harnesses,770,advanced,,
What is Angular DevTools and how can it help during development?,what-is-angular-devtools,780,advanced,,
How do you perform error handling?,how-perform-error-handling-angular,790,advanced,,
What happens if you include a `<script>` tag inside a template?,script-tag-inside-template-angular,800,advanced,,
What is a service worker and its role in Angular?,what-is-service-worker-role-angular,810,advanced,,
What is State function and Style function?,what-is-state-and-style-function,820,advanced,,
What is Angular Universal?,what-is-angular-universal,830,advanced,,
